 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.79381443299	0.762886597938	0.908074534161	0.561260707616	0.604081632653
S1 Pyramidal	0.929203539823	0.83185840708	0.901140684411	0.617668574722	0.659649122807
CA1 Pyramidal	0.958041958042	0.944055944056	0.868506493506	0.775533848004	0.847723704867
Oligodendrocyte	0.966666666667	0.970833333333	0.864048338369	0.769518383755	0.827708703375
Microglia	0.833333333333	0.8	0.895642201835	0.373997332383	0.331034482759
Endothelial	0.648648648649	0.972972972973	0.88901734104	0.483703214294	0.426035502959
Astrocyte	1.0	0.859375	0.894988066826	0.530277874783	0.531400966184
Ependymal	0.125	0.125	0.89932885906	0.00757363501754	0.020202020202
Mural	0.666666666667	0.666666666667	0.899428571429	0.299547668584	0.270676691729
Global Evaluations	0.892461197339	0.770405435783	0.891130565626	0.491009026573	0.502056980837
