 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.974683544304	0.924050632911	0.948967193196	0.739946445904	0.752577319588
S1 Pyramidal	0.944	0.952	0.945945945946	0.810202666042	0.832167832168
CA1 Pyramidal	0.986206896552	0.972413793103	0.934640522876	0.884231681849	0.921568627451
Oligodendrocyte	0.987804878049	0.967479674797	0.939024390244	0.874328301314	0.908396946565
Microglia	0.9	0.9	0.948394495413	0.561321164443	0.529411764706
Endothelial	0.979591836735	0.959183673469	0.946072684642	0.674727489377	0.661971830986
Astrocyte	0.946428571429	0.875	0.951536643026	0.66549077194	0.671232876712
Ependymal	0.555555555556	0.444444444444	0.951847704367	0.177227236739	0.142857142857
Mural	0.833333333333	0.833333333333	0.949095022624	0.439111989705	0.384615384615
Global Evaluations	0.946784922395	0.869767283562	0.946169400259	0.64739863859	0.644977747294
