 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0229885057471	0.0114942528736	0.629447852761	-0.224423424457	0.00512820512821
S1 Pyramidal	0.18691588785	0.18691588785	0.621383647799	-0.129466687271	0.0934579439252
CA1 Pyramidal	-0.247524752475	1.0	0.35225375626	0.393015887607	0.609657947686
Oligodendrocyte	0.498023715415	0.486166007905	0.602465331279	0.0806099349836	0.388012618297
Microglia	0.4	0.4	0.574686431015	-0.00840698197358	0.0490196078431
Endothelial	0.723404255319	0.659574468085	0.564912280702	0.100350583158	0.137777777778
Astrocyte	0.428571428571	0.367346938776	0.581477139508	-0.0235351671733	0.0849056603774
Ependymal	0.0	0.0	0.577528089888	-0.098174041559	0.0
Mural	0.421052631579	0.421052631579	0.573046432616	-0.00171317767385	0.039603960396
Global Evaluations	0.569844789357	0.392505576341	0.564133440203	0.00980632507124	0.156395969048
