 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.988095238095	0.904761904762	0.935207823961	0.697260925083	0.713615023474
S1 Pyramidal	0.881188118812	0.940594059406	0.931335830212	0.738420866449	0.756972111554
CA1 Pyramidal	0.996721311475	0.95737704918	0.91959798995	0.856084632983	0.905426356589
Oligodendrocyte	0.992063492063	0.97619047619	0.915384615385	0.848387755317	0.889692585895
Microglia	0.84375	0.8125	0.936781609195	0.48480333713	0.46017699115
Endothelial	0.925925925926	0.925925925926	0.932783018868	0.630035962389	0.621118012422
Astrocyte	0.893617021277	0.914893617021	0.933333333333	0.600422376579	0.585034013605
Ependymal	0.142857142857	0.142857142857	0.938547486034	0.0296026399799	0.031746031746
Mural	0.6	0.6	0.939909297052	0.307433145812	0.282352941176
Global Evaluations	0.932372505543	0.797233352816	0.931431222666	0.576939071302	0.58290378529
