 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.68	0.828967936438	0.923706784027	0.623298163236	0.649529289644
S1 Pyramidal	0.806451612903	0.864802016902	0.92244746158	0.687461862842	0.721124899961
CA1 Pyramidal	1.0	0.960347693811	0.894599840754	0.819851536392	0.87634622821
Oligodendrocyte	0.989583333333	0.980542876454	0.890331670192	0.814378142543	0.862367181501
Microglia	0.555555555556	0.788531746032	0.920184897284	0.400379382538	0.361269400099
Endothelial	0.545454545455	0.841507846019	0.919860573226	0.535599289919	0.528489186578
Astrocyte	0.846153846154	0.915786435786	0.914429979526	0.591243555914	0.581946755727
Ependymal	1.0	0.341666666667	0.920438457852	0.0825669814312	0.0594316000092
Mural	1.0	0.713484848485	0.919211937467	0.295139204042	0.241515457833
Global Evaluations	0.915136612022	0.803959785177	0.913912400212	0.538879790984	0.542446666618
