 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.9599057730705143	0.9583691621153948	0.8064313670774771	0.8165849899309444
S1 Pyramidal	0.925	0.9633006594844276	0.9577525048369149	0.8436086305892367	0.8598651479120978
CA1 Pyramidal	0.99	0.9685246186738677	0.9542997889508072	0.9071503272605476	0.9364608393749121
Oligodendrocyte	0.9859154929577465	0.9760319809164603	0.9517185077344387	0.9015192237167062	0.9280606120038495
Microglia	1.0	0.9353174603174603	0.9590022725967048	0.6181610612524543	0.5868416558071731
Endothelial	1.0	0.9473515519568151	0.9593495374717321	0.7312638001926469	0.7278834273362166
Astrocyte	0.95	0.9071119468766528	0.961899740433741	0.7316691946505819	0.736564988601385
Ependymal	1.0	0.6449999999999999	0.9613425457377337	0.27400277332355805	0.21427736006683373
Mural	1.0	0.8365476190476191	0.9612541166111266	0.48765003575200117	0.4408742770443538
Global Evaluations	0.9586939890710384	0.9043435122604241	0.9583320196098438	0.7001618237572456	0.6941570331197517
