 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.023648978649	0.623564483889	-0.218320253756	0.0106406395565
S1 Pyramidal	0.176470588235	0.180034762546	0.623199295636	-0.137235185905	0.0970522813097
CA1 Pyramidal	-0.100917431193	0.99900990099	0.365535263468	0.390197620516	0.59094845312
Oligodendrocyte	0.524390243902	0.508152684875	0.587992259323	0.0854990008191	0.388081952903
Microglia	0.333333333333	0.402775835276	0.570566901534	-0.00737714155252	0.0580581204799
Endothelial	0.666666666667	0.641911594597	0.5616059135	0.0935527096573	0.14428363743
Astrocyte	0.388888888889	0.412143301143	0.576400567207	-0.00525351972823	0.110933881038
Ependymal	0.0	0.0	0.570649042852	-0.0758736362623	0.0
Mural	0.428571428571	0.429761904762	0.568426862608	0.000190701731914	0.0380738929002
Global Evaluations	0.565699453552	0.399715440315	0.560882287779	0.0139311439467	0.159785873193
