 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.903225806452	0.917437812662	0.935573803513	0.710808674457	0.725425557185
S1 Pyramidal	0.916666666667	0.943536934125	0.932354693117	0.763465336865	0.785770349446
CA1 Pyramidal	0.972222222222	0.972265512875	0.915621124978	0.858348125917	0.902663206791
Oligodendrocyte	0.971014492754	0.970212029449	0.919899913239	0.847772888953	0.888044122172
Microglia	0.9	0.884899267399	0.934934766612	0.501701321897	0.459113099229
Endothelial	0.866666666667	0.920444663695	0.93462577133	0.628154331832	0.617728140953
Astrocyte	0.95652173913	0.863415484771	0.939127591083	0.62671894097	0.631356057687
Ependymal	0.0	0.133333333333	0.940897830852	0.0248487435257	0.0291666666667
Mural	0.2	0.556547619048	0.941923550617	0.266272400712	0.238799763323
Global Evaluations	0.933770491803	0.79578807304	0.93277322726	0.580898973903	0.586451884828
