 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.75	0.765625	0.356512047954	0.413793103448
S1 Pyramidal	-0.375	1.0	0.734375	0.484767985742	0.484848484848
CA1 Pyramidal	0.75	0.5	0.796875	0.21968621278	0.32
Oligodendrocyte	0.875	0.875	0.75	0.421262731871	0.451612903226
Microglia	0.75	0.75	0.765625	0.356512047954	0.413793103448
Endothelial	1.0	0.875	0.75	0.421262731871	0.451612903226
Astrocyte	1.0	1.0	0.734375	0.484767985742	0.484848484848
Ependymal	0.625	0.625	0.78125	0.289676736584	0.37037037037
Mural	0.625	0.5	0.796875	0.21968621278	0.32
Global Evaluations	0.763888888889	0.763888888889	0.763888888889	0.361570521475	0.412319928157
