 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.875	0.9375	0.709736417562	0.736842105263
S1 Pyramidal	1.0	1.0	0.921875	0.753198308753	0.761904761905
CA1 Pyramidal	0.875	1.0	0.921875	0.753198308753	0.761904761905
Oligodendrocyte	1.0	0.875	0.9375	0.709736417562	0.736842105263
Microglia	1.0	1.0	0.921875	0.753198308753	0.761904761905
Endothelial	0.875	0.875	0.9375	0.709736417562	0.736842105263
Astrocyte	0.875	1.0	0.921875	0.753198308753	0.761904761905
Ependymal	1.0	0.875	0.9375	0.709736417562	0.736842105263
Mural	1.0	0.875	0.9375	0.709736417562	0.736842105263
Global Evaluations	0.930555555556	0.930555555556	0.930555555556	0.729052813647	0.747981063771
