 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.643333333333	0.642074781084	0.172486337432	0.276085858586
S1 Pyramidal	0.833333333333	0.616666666667	0.641393257212	0.186976500846	0.265067155067
CA1 Pyramidal	0.666666666667	0.55	0.656487240829	0.164117063899	0.284215784216
Oligodendrocyte	1.0	0.78	0.616664262959	0.350498068838	0.36673992674
Microglia	0.5	0.575	0.652097610627	0.195668783056	0.29275974026
Endothelial	1.0	0.641666666667	0.65106268636	0.171977581477	0.273700743701
Astrocyte	1.0	0.655	0.634549483062	0.198793822974	0.281445922499
Ependymal	1.0	0.483333333333	0.669158122579	0.105958918961	0.240553613054
Mural	3.0	0.488333333333	0.648362308934	0.126392819478	0.253803418803
Global Evaluations	0.645571658615	0.603703703704	0.645761083739	0.185874432996	0.281596906992
