 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.933333333333	0.836143578644	0.553774743867	0.560317460317
S1 Pyramidal	1.0	0.9	0.82667893383	0.523869527884	0.52003996004
CA1 Pyramidal	1.0	0.83	0.84201754386	0.491730895072	0.510317460317
Oligodendrocyte	0.75	0.925	0.84011723974	0.537002124567	0.549466089466
Microglia	0.666666666667	0.83	0.850649350649	0.50753866932	0.540317460317
Endothelial	-2.0	0.941666666667	0.838340396446	0.566993998737	0.565367965368
Astrocyte	0.666666666667	0.641666666667	0.859906396426	0.413629238878	0.462478632479
Ependymal	-1.0	0.643333333333	0.867366750209	0.406097863148	0.451904761905
Mural	0.666666666667	0.825	0.853975616747	0.477588274499	0.503226773227
Global Evaluations	0.846054750403	0.83	0.846132867394	0.497580592886	0.51815961816
