 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.333333333333	0.39484699892	-0.209530693487	0.0628151260504
S1 Pyramidal	0.5	0.323333333333	0.378913834703	-0.203307734372	0.0855764411028
CA1 Pyramidal	15.0	0.233333333333	0.400156468246	-0.205841627805	0.0598599439776
Oligodendrocyte	0.0	0.666666666667	0.347160208213	-0.0138694069359	0.16371383003
Microglia	0.0	0.266666666667	0.374514002397	-0.129806429711	0.112906128959
Endothelial	0.5	0.436666666667	0.349664824116	-0.0820707220559	0.148295739348
Astrocyte	0.4	0.498333333333	0.368959899749	-0.113274294099	0.115843530395
Ependymal	0.333333333333	0.233333333333	0.382706900942	-0.223972977214	0.0800980392157
Mural	-1	0.411666666667	0.357649759866	-0.0599154602682	0.147595704949
Global Evaluations	0.372463768116	0.378148148148	0.372730321906	-0.137954371772	0.108522720447
