 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.791666666667	0.794564188248	0.450918578053	0.477811077811
S1 Pyramidal	0.5	0.613333333333	0.833275613276	0.332983868182	0.383333333333
CA1 Pyramidal	0.5	0.85	0.791973114605	0.439900225163	0.467444777445
Oligodendrocyte	0.75	0.8	0.800759755119	0.431620440855	0.465281385281
Microglia	0.0	0.95	0.777653793575	0.501147479156	0.50635896783
Endothelial	0.666666666667	0.766666666667	0.774330775789	0.417473083481	0.440566597146
Astrocyte	1.0	0.891666666667	0.790538277512	0.478002119464	0.496259296259
Ependymal	0.666666666667	0.623333333333	0.826035971701	0.319113356724	0.372356532357
Mural	0.5	0.791666666667	0.804794248467	0.427805323813	0.4640997891
Global Evaluations	0.798872785829	0.786481481481	0.799325082032	0.422107163877	0.452612417396
