 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.862068965517	0.793103448276	0.919018404908	0.589288787544	0.621621621622
S1 Pyramidal	0.991525423729	0.847457627119	0.915816326531	0.664181120249	0.704225352113
CA1 Pyramidal	0.951492537313	0.94776119403	0.889589905363	0.797596420951	0.858108108108
Oligodendrocyte	0.980769230769	0.980769230769	0.876947040498	0.804545176922	0.858585858586
Microglia	0.814814814815	0.777777777778	0.910857142857	0.375404591965	0.333333333333
Endothelial	0.944444444444	0.87037037037	0.909198113208	0.537091696386	0.52808988764
Astrocyte	0.827586206897	0.965517241379	0.902843601896	0.591696811964	0.571428571429
Ependymal	0.25	0.25	0.909799554566	0.0369343003044	0.0232558139535
Mural	0.615384615385	0.576923076923	0.916666666667	0.2783244217	0.263157894737
Global Evaluations	0.906873614191	0.778853329627	0.905637417388	0.519451480887	0.529089604613
