 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.988505747126	0.954022988506	0.946012269939	0.763915359205	0.775700934579
S1 Pyramidal	1.0	0.929824561404	0.94923857868	0.793045817196	0.815384615385
CA1 Pyramidal	0.989473684211	0.954385964912	0.943273905997	0.880742902897	0.918918918919
Oligodendrocyte	0.991452991453	0.974358974359	0.937125748503	0.872378859464	0.904761904762
Microglia	0.896551724138	0.793103448276	0.951890034364	0.508205296509	0.489361702128
Endothelial	0.983050847458	0.932203389831	0.947805456702	0.696067667629	0.696202531646
Astrocyte	0.875	0.984375	0.943914081146	0.728343594448	0.724137931034
Ependymal	0.833333333333	0.666666666667	0.948660714286	0.218590393212	0.142857142857
Mural	0.875	0.833333333333	0.949886104784	0.490935389646	0.454545454545
Global Evaluations	0.946784922395	0.891363814143	0.946422988267	0.661358364467	0.657985681762
