 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0112359550562	0.0112359550562	0.592865928659	-0.24480328528	0.00475059382423
S1 Pyramidal	0.139130434783	0.139130434783	0.593392630241	-0.184520562574	0.0709534368071
CA1 Pyramidal	-0.41724137931	0.996551724138	0.316993464052	0.355752399254	0.579739217653
Oligodendrocyte	0.448669201521	0.437262357414	0.575899843505	0.0120903344896	0.354391371341
Microglia	0.347826086957	0.347826086957	0.540386803185	-0.0353755691265	0.0367816091954
Endothelial	0.666666666667	0.6	0.532088681447	0.0575905488457	0.114164904863
Astrocyte	0.44	0.42	0.542253521127	-0.0173428148589	0.0911062906725
Ependymal	0.0	0.0	0.540873460246	-0.0916441826577	0.0
Mural	0.333333333333	0.333333333333	0.539592760181	-0.0356688667003	0.0278422273782
Global Evaluations	0.535476718404	0.365037765742	0.530483010294	-0.0204357776232	0.142192183526
