 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.951219512195	0.878048780488	0.932926829268	0.670299558856	0.688995215311
S1 Pyramidal	0.903225806452	0.927419354839	0.928020565553	0.751507658545	0.779661016949
CA1 Pyramidal	0.982698961938	0.968858131488	0.908646003263	0.846935770685	0.896
Oligodendrocyte	0.992125984252	0.96062992126	0.91512345679	0.836742700164	0.882459312839
Microglia	0.96	0.92	0.928164196123	0.47408414525	0.414414414414
Endothelial	0.977777777778	0.911111111111	0.928821470245	0.577425576387	0.557823129252
Astrocyte	0.95	0.833333333333	0.934679334917	0.596727763521	0.606060606061
Ependymal	0.0	0.0	0.937290033595	-0.0258288076028	0.0
Mural	0.928571428571	0.857142857143	0.929054054054	0.351980373249	0.269662921348
Global Evaluations	0.927937915743	0.806282609962	0.926969549312	0.564430526562	0.566119624019
