 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.8	0.834788027623	0.922028936711	0.622411428463	0.647470066849
S1 Pyramidal	0.909090909091	0.877978335733	0.918892708125	0.689629592407	0.723946410716
CA1 Pyramidal	0.971153846154	0.951291579161	0.896195889444	0.814693621333	0.873031411344
Oligodendrocyte	0.988095238095	0.983102743158	0.887406098598	0.81290534601	0.861010544778
Microglia	0.833333333333	0.779047619048	0.917761916968	0.400194754044	0.364318406233
Endothelial	0.933333333333	0.842635281385	0.917670519549	0.532309025415	0.525694882849
Astrocyte	0.714285714286	0.918821789322	0.913363720314	0.588310330223	0.578455747051
Ependymal	0.0	0.281666666667	0.919137898237	0.0623540363277	0.0485687904256
Mural	0.857142857143	0.693571428571	0.918569436569	0.275624783963	0.227780177902
Global Evaluations	0.91349726776	0.795878163408	0.912336347168	0.533159213132	0.538919604239
