 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.911764705882	0.95927879847	0.957080094986	0.803167843238	0.814443799813
S1 Pyramidal	0.852941176471	0.955045938336	0.957995780199	0.835672530028	0.85224214496
CA1 Pyramidal	0.9	0.96729214899	0.952482029243	0.903541714946	0.933501964066
Oligodendrocyte	0.942528735632	0.975837483156	0.9504792552	0.899027814108	0.926036410868
Microglia	1.0	0.92561965812	0.958669589143	0.617997677047	0.590095564045
Endothelial	1.0	0.966051587302	0.956790701309	0.735305105228	0.729174714344
Astrocyte	1.0	0.928958321109	0.95939432112	0.74037044077	0.74221693816
Ependymal	0.0	0.56	0.960670689456	0.240378235601	0.19162464986
Mural	0.6	0.844444444444	0.959504799865	0.479154957722	0.42982085903
Global Evaluations	0.957360655738	0.898058708881	0.957007473391	0.694957368743	0.68990633835
