 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0689655172414	0.0182347907494	0.623735573601	-0.220228009496	0.00909860288432
S1 Pyramidal	0.190476190476	0.179582041005	0.622656891019	-0.138276610074	0.0961366159532
CA1 Pyramidal	-0.6	0.99898989899	0.365378630579	0.390616937401	0.591148784762
Oligodendrocyte	0.440860215054	0.506098142545	0.587913721711	0.0833779466059	0.386830533016
Microglia	0.428571428571	0.416544011544	0.570454717001	-0.00654736819503	0.0571693441997
Endothelial	0.7	0.646425019769	0.561033966879	0.0928727240427	0.14364366707
Astrocyte	0.444444444444	0.437472688131	0.574990519841	0.00307866000324	0.113755322018
Ependymal	0.0	0.2	0.569424751036	-0.0511523568227	0.00298773690078
Mural	0.6	0.504177489177	0.567822224276	0.00815901033178	0.03862688286
Global Evaluations	0.565087431694	0.434169342434	0.560378999549	0.0179889926441	0.159933054407
