 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.916666666667	0.935452042153	0.929676849243	0.705472114729	0.716299318532
S1 Pyramidal	1.0	0.937261449764	0.929760294544	0.753228238296	0.776691903024
CA1 Pyramidal	0.975903614458	0.970117404272	0.912390521536	0.851086019685	0.897980844934
Oligodendrocyte	0.911111111111	0.968072415574	0.916353553368	0.840827136103	0.882992504361
Microglia	1.0	0.842846320346	0.933621541999	0.470691666797	0.432380558649
Endothelial	1.0	0.894859270846	0.932457899928	0.603703181092	0.595784439046
Astrocyte	0.772727272727	0.859604996565	0.935197922975	0.612557273406	0.617288416335
Ependymal	-1	0.15	0.936904717594	0.0420931682397	0.044431372549
Mural	0.4	0.530317460317	0.938901717228	0.246647173609	0.221401039048
Global Evaluations	0.930464480874	0.787614595538	0.929473890935	0.56958955244	0.576138932942
