 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.375	0.59375	-0.0200240432866	0.162162162162
S1 Pyramidal	-0.375	0.625	0.5625	0.118262479198	0.243902439024
CA1 Pyramidal	-0.125	0.75	0.546875	0.186669654324	0.279069767442
Oligodendrocyte	0.75	0.75	0.546875	0.186669654324	0.279069767442
Microglia	0.875	1.0	0.515625	0.325221817794	0.340425531915
Endothelial	0.75	0.5	0.578125	0.0495852189849	0.205128205128
Astrocyte	0.375	0.25	0.609375	-0.0912870929175	0.114285714286
Ependymal	0.5	0.5	0.578125	0.0495852189849	0.205128205128
Mural	0.375	0.375	0.59375	-0.0200240432866	0.162162162162
Global Evaluations	0.569444444444	0.569444444444	0.569444444444	0.0871843182355	0.221259328299
