 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	1.0	0.890625	0.689202437605	0.695652173913
S1 Pyramidal	0.75	0.75	0.921875	0.586897422215	0.631578947368
CA1 Pyramidal	0.875	1.0	0.890625	0.689202437605	0.695652173913
Oligodendrocyte	0.875	1.0	0.890625	0.689202437605	0.695652173913
Microglia	0.75	0.75	0.921875	0.586897422215	0.631578947368
Endothelial	1.0	1.0	0.890625	0.689202437605	0.695652173913
Astrocyte	0.625	1.0	0.890625	0.689202437605	0.695652173913
Ependymal	0.875	0.625	0.9375	0.534522483825	0.588235294118
Mural	1.0	1.0	0.890625	0.689202437605	0.695652173913
Global Evaluations	0.902777777778	0.902777777778	0.902777777778	0.649281328209	0.669478470259
