 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.75	0.828125	0.427809993308	0.48
S1 Pyramidal	1.0	0.75	0.828125	0.427809993308	0.48
CA1 Pyramidal	0.625	1.0	0.796875	0.550973165019	0.551724137931
Oligodendrocyte	0.75	1.0	0.796875	0.550973165019	0.551724137931
Microglia	0.875	0.875	0.8125	0.490222169604	0.518518518519
Endothelial	0.75	0.625	0.84375	0.362738125055	0.434782608696
Astrocyte	0.625	0.875	0.8125	0.490222169604	0.518518518519
Ependymal	0.875	0.75	0.828125	0.427809993308	0.48
Mural	0.75	0.75	0.828125	0.427809993308	0.48
Global Evaluations	0.819444444444	0.819444444444	0.819444444444	0.461818751948	0.499474213511
