 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.75	0.890625	0.523408994218	0.571428571429
S1 Pyramidal	0.75	1.0	0.859375	0.635933773836	0.64
CA1 Pyramidal	1.0	0.875	0.875	0.580381000088	0.608695652174
Oligodendrocyte	1.0	1.0	0.859375	0.635933773836	0.64
Microglia	0.875	1.0	0.859375	0.635933773836	0.64
Endothelial	0.5	0.5	0.921875	0.400891862869	0.470588235294
Astrocyte	1.0	1.0	0.859375	0.635933773836	0.64
Ependymal	0.875	0.75	0.890625	0.523408994218	0.571428571429
Mural	0.625	1.0	0.859375	0.635933773836	0.64
Global Evaluations	0.875	0.875	0.875	0.578639968953	0.602460114481
