 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.85	0.689370015949	0.33622284975	0.372256982783
S1 Pyramidal	0.0	0.703333333333	0.694765982809	0.25684116647	0.313708513709
CA1 Pyramidal	0.5	0.575	0.715139677256	0.210398432767	0.287523587524
Oligodendrocyte	0.8	0.696666666667	0.682830627293	0.320224276941	0.370683760684
Microglia	0.666666666667	0.785	0.69628772194	0.295573018736	0.351276501277
Endothelial	0.333333333333	0.823333333333	0.697423132423	0.329253343508	0.364911559029
Astrocyte	1.0	0.508333333333	0.712561096417	0.174295326189	0.281944526062
Ependymal	1.0	0.458333333333	0.733718229543	0.15101028929	0.244593184593
Mural	0.666666666667	0.775	0.69154591023	0.301369905064	0.362910773437
Global Evaluations	0.700966183575	0.686111111111	0.70151582154	0.263909845413	0.327756598789
