 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	-1.0	0.9	0.902023143844	0.626774603352	0.625909090909
S1 Pyramidal	1.0	0.866666666667	0.912284119389	0.643331502527	0.662965367965
CA1 Pyramidal	1.0	0.83	0.913122529644	0.625246976456	0.629112554113
Oligodendrocyte	0.666666666667	0.855	0.913403914926	0.648855799428	0.656428571429
Microglia	1.0	0.975	0.908564973039	0.689226516644	0.692417027417
Endothelial	1.0	0.93	0.914285714286	0.690484025721	0.700079365079
Astrocyte	0.5	0.95	0.90952183489	0.677331208077	0.678650793651
Ependymal	0.5	0.525	0.94268484757	0.474122070375	0.503412698413
Mural	1.0	0.9	0.913223539745	0.676026340711	0.682380952381
Global Evaluations	0.914331723027	0.859074074074	0.914346068593	0.639044338144	0.647928491262
