 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.4	0.420936729175	-0.148862484836	0.0708496732026
S1 Pyramidal	1.0	0.286666666667	0.412306220096	-0.189367286369	0.0836111111111
CA1 Pyramidal	0.0	0.275	0.430802612592	-0.214718853517	0.0467354661163
Oligodendrocyte	-10.0	0.466666666667	0.413364198954	-0.105428395093	0.0882726423903
Microglia	1.0	0.535	0.374105566948	-0.0390287060037	0.168805299448
Endothelial	0.0	0.53	0.383901288135	-0.0617761278272	0.145935672515
Astrocyte	0.5	0.441666666667	0.377213983576	-0.0746164266487	0.147952543336
Ependymal	0.0	0.408333333333	0.399392230576	-0.126809157382	0.114791021672
Mural	0.75	0.715	0.365611756664	0.0431375257416	0.192600250627
Global Evaluations	0.396618357488	0.450925925926	0.39751495408	-0.101941101326	0.117728186713
